"Phylum","Avg.Prevalence","Total.Prevalence"
"Acidobacteria",6,102
"Actinobacteria",5.71178343949045,7174
"Apicomplexa",3,6
"Aquificae",1.33333333333333,4
"Armatimonadetes",5,10
"Ascomycota",3.54166666666667,85
"Bacteroidetes",3.44160583941606,943
"Basidiomycota",3,9
"Calditrichaeota",6,6
"Candidatus Saccharibacteria",1,1
"Chlamydiae",1.33333333333333,4
"Chlorobi",4.71428571428571,33
"Chloroflexi",5.8,87
"Chrysiogenetes",3,3
"Cyanobacteria",5,25
"Deinococcus-Thermus",5.66666666666667,187
"Euglenozoa",1.5,3
"Euryarchaeota",2.43055555555556,175
"Evosea",4,4
"Fibrobacteres",1,1
"Firmicutes",3.40837696335079,651
"Gemmatimonadetes",6,24
"Ignavibacteriae",1,1
"Kiritimatiellaeota",6,12
"Nitrospirae",6,24
"Planctomycetes",5.8030303030303,383
"Proteobacteria",5.38782523318606,10975
"Spirochaetes",4,16
"Streptophyta",6,6
"Synergistetes",4.8,24
"Thaumarchaeota",4.6,23
"Thermodesulfobacteria",2,2
"Verrucomicrobia",5.88888888888889,106
