"Phylum","Freq"
"Acidobacteria",17
"Actinobacteria",1256
"Apicomplexa",2
"Aquificae",3
"Armatimonadetes",2
"Ascomycota",24
"Bacteroidetes",274
"Basidiomycota",3
"Calditrichaeota",1
"Candidatus Saccharibacteria",1
"Chlamydiae",3
"Chlorobi",7
"Chloroflexi",15
"Chrysiogenetes",1
"Cyanobacteria",5
"Deinococcus-Thermus",33
"Euglenozoa",2
"Euryarchaeota",72
"Evosea",1
"Fibrobacteres",1
"Firmicutes",191
"Gemmatimonadetes",4
"Ignavibacteriae",1
"Kiritimatiellaeota",2
"Nitrospirae",4
"Planctomycetes",66
"Proteobacteria",2037
"Spirochaetes",4
"Streptophyta",1
"Synergistetes",5
"Thaumarchaeota",5
"Thermodesulfobacteria",1
"Verrucomicrobia",18
