"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Halapricum desulfuricans",6,255,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halapricum","desulfuricans"
"Haloarcula sp. JP-L23",3,128,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","sp. JP-L23"
"Halococcoides cellulosivorans",1,20,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halococcoides","cellulosivorans"
"Halomicrobium salinisoli",6,348,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","salinisoli"
"Halomicrobium sp. LC1Hm",1,59,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","sp. LC1Hm"
"Halorientalis sp. IM1011",3,78,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorientalis","sp. IM1011"
"Halosiccatus urmianus",4,127,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosiccatus","urmianus"
"Halosimplex litoreum",3,89,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","litoreum"
"Halosimplex pelagicum",4,136,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","pelagicum"
"Halosimplex rubrum",3,141,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","rubrum"
"Natronomonas moolapensis",1,27,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","moolapensis"
"Natronomonas salina",5,206,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","salina"
"Haladaptatus sp. PSR5",1,33,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR5"
"Haladaptatus sp. PSR8",2,65,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR8"
"Halarchaeum sp. CBA1220",3,118,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halarchaeum","sp. CBA1220"
"Halobacterium hubeiense",2,135,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","hubeiense"
"Halobacterium litoreum",1,34,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","litoreum"
"Halobacterium sp. DL1",1,123,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","sp. DL1"
"Halobacterium sp. Gai3-17",1,35,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","sp. Gai3-17"
"Salarchaeum japonicum",1,67,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Salarchaeum","japonicum"
"Salarchaeum sp. JOR-1",2,60,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Salarchaeum","sp. JOR-1"
