"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Halapricum desulfuricans",42,45,32,56,31,49
"Haloarcula sp. JP-L23",0,38,0,48,0,42
"Halococcoides cellulosivorans",0,0,0,0,20,0
"Halomicrobium salinisoli",61,44,71,76,51,45
"Halomicrobium sp. LC1Hm",0,59,0,0,0,0
"Halorientalis sp. IM1011",0,26,0,25,0,27
"Halosiccatus urmianus",0,29,0,30,38,30
"Halosimplex litoreum",0,26,0,38,0,25
"Halosimplex pelagicum",0,29,0,40,37,30
"Halosimplex rubrum",0,43,0,57,0,41
"Natronomonas moolapensis",0,0,0,27,0,0
"Natronomonas salina",0,42,49,36,38,41
"Haladaptatus sp. PSR5",0,0,0,33,0,0
"Haladaptatus sp. PSR8",0,0,39,0,0,26
"Halarchaeum sp. CBA1220",0,38,0,47,33,0
"Halobacterium hubeiense",0,0,0,0,59,76
"Halobacterium litoreum",0,0,0,0,0,34
"Halobacterium sp. DL1",0,123,0,0,0,0
"Halobacterium sp. Gai3-17",0,0,0,0,35,0
"Salarchaeum japonicum",0,67,0,0,0,0
"Salarchaeum sp. JOR-1",0,28,0,0,32,0
"Halobellus limi",0,38,0,60,53,73
"Haloferax gibbonsii",0,0,0,0,37,43
"Haloplanus aerogenes",0,0,23,0,23,24
"Haloplanus rallus",0,38,44,0,41,0
"Haloplanus rubicundus",0,31,24,0,24,26
"Haloprofundus sp. Gai1-5",0,0,0,0,28,0
"Haloprofundus sp. MHR1",0,0,0,0,0,46
"Haloprofundus sp. SEDH52",0,0,0,39,0,0
"Halalkaliarchaeum desulfuricum",0,0,0,21,0,0
"Halobaculum halophilum",0,25,40,38,31,34
"Halobaculum rubrum",0,32,0,0,36,0
"Halobaculum salinum",37,27,28,44,30,57
"Halobaculum sp. CBA1158",0,51,45,66,49,0
"Halolamina sp. CBA1230",134,43,35,0,51,52
"Halopenitus persicus",0,22,0,0,26,0
"Halorubrum ezzemoulense",0,27,0,55,42,0
"Halorubrum lacusprofundi",0,68,109,0,88,0
"Halorubrum salinarum",0,48,0,52,51,56
"Halorubrum sodomense",0,36,0,0,0,38
"Halorubrum sp. CBA1229",0,35,59,46,37,55
"Halorubrum trapanicum",0,55,0,0,0,86
"Salinigranum rubrum",37,36,30,36,0,44
"Halobiforma lacisalsi",0,0,59,0,0,35
"Halopiger xanaduensis",0,38,0,34,41,30
"Haloterrigena salifodinae",0,0,0,0,0,39
"Haloterrigena sp. KZCA68",0,0,0,49,0,0
"Haloterrigena turkmenica",0,0,0,0,53,51
"Halovivax sp. KZCA124",0,0,25,35,25,30
