"","Total Number of reads for each species across all samples"
"Halapricum desulfuricans",255
"Haloarcula sp. JP-L23",128
"Halococcoides cellulosivorans",20
"Halomicrobium salinisoli",348
"Halomicrobium sp. LC1Hm",59
"Halorientalis sp. IM1011",78
"Halosiccatus urmianus",127
"Halosimplex litoreum",89
"Halosimplex pelagicum",136
"Halosimplex rubrum",141
"Natronomonas moolapensis",27
"Natronomonas salina",206
"Haladaptatus sp. PSR5",33
"Haladaptatus sp. PSR8",65
"Halarchaeum sp. CBA1220",118
"Halobacterium hubeiense",135
"Halobacterium litoreum",34
"Halobacterium sp. DL1",123
"Halobacterium sp. Gai3-17",35
"Salarchaeum japonicum",67
"Salarchaeum sp. JOR-1",60
"Halobellus limi",224
"Haloferax gibbonsii",80
"Haloplanus aerogenes",70
"Haloplanus rallus",123
"Haloplanus rubicundus",105
"Haloprofundus sp. Gai1-5",28
"Haloprofundus sp. MHR1",46
"Haloprofundus sp. SEDH52",39
"Halalkaliarchaeum desulfuricum",21
"Halobaculum halophilum",168
"Halobaculum rubrum",68
"Halobaculum salinum",223
"Halobaculum sp. CBA1158",211
"Halolamina sp. CBA1230",315
"Halopenitus persicus",48
"Halorubrum ezzemoulense",124
"Halorubrum lacusprofundi",265
"Halorubrum salinarum",207
"Halorubrum sodomense",74
"Halorubrum sp. CBA1229",232
"Halorubrum trapanicum",141
"Salinigranum rubrum",183
"Halobiforma lacisalsi",94
"Halopiger xanaduensis",143
"Haloterrigena salifodinae",39
"Haloterrigena sp. KZCA68",49
"Haloterrigena turkmenica",104
"Halovivax sp. KZCA124",115
"Natrarchaeobaculum aegyptiacum",106
"Natrialba magadii",160
"Natrinema pellirubrum",82
"Natrinema sp. DC36",36
"Natrinema sp. SLN56",128
"Natrinema sp. YPL30",49
"Natronococcus occultus",78
"Salinarchaeum sp. Harcht-Bsk1",141
"Methanobacterium paludis",51
"Methanocella arvoryzae",27
"Methanoculleus bourgensis",60
"Methanoculleus chikugoensis",57
"Methanosarcina acetivorans",58
"Methanosarcina barkeri",602
"Methanosarcina flavescens",114
"Methanosarcina horonobensis",84
"Methanosarcina lacustris",124
"Methanosarcina mazei",140
"Methanosarcina siciliae",72
"Methanosarcina sp. Kolksee",108
"Methanosarcina sp. MTP4",84
"Methanosarcina thermophila",112
"Methanosarcina vacuolata",84
"Candidatus Nitrosocosmicus franklandus",176
"Candidatus Nitrosocosmicus hydrocola",153
"Candidatus Nitrosocosmicus oleophilus",8344
"Nitrososphaera Candidatus Nitrososphaera evergladensis",260
"Nitrososphaera Candidatus Nitrososphaera gargensis",354
"Acidisarcina polymorpha",1545
"Acidobacterium capsulatum",2067
"Acidobacterium sp. 4Y35",2527
"Candidatus Koribacter versatilis",2928
"Edaphobacter sp. 12200R-103",1703
"Edaphobacter sp. 4G125",1056
"Granulicella mallensis",1833
"Granulicella sp. 5B5",1711
"Granulicella sp. WH15",2357
"Granulicella tundricola",1266
"Terriglobus albidus",1683
"Terriglobus roseus",2220
"Terriglobus saanensis",1001
"Paludibaculum fermentans",4309
"Sulfidibacter corallicola",896
"Luteitalea pratensis",42944
"Luteitalea sp. TBR-22",26782
"Acidimicrobium ferrooxidans",1749
"Actinomarinicola tropica",19358
"Aquihabitans sp. G128",22053
"Aquihabitans sp. Kera 3",17171
"Iamia sp. SCSIO 61187",19289
"Ilumatobacter coccineus",10142
"Acidothermus cellulolyticus",1361
"Actinobaculum sp. 313",266
"Actinomyces faecalis",427
"Actinomyces gaoshouyii",436
"Actinomyces howellii",836
"Actinomyces lilanjuaniae",339
"Actinomyces marmotae",410
"Actinomyces naeslundii",464
"Actinomyces oris",1018
"Actinomyces pacaensis",48
"Actinomyces procaprae",693
"Actinomyces qiguomingii",408
"Actinomyces radicidentis",1256
"Actinomyces respiraculi",625
"Actinomyces slackii",534
"Actinomyces sp. 432",498
"Actinomyces sp. Chiba101",486
"Actinomyces sp. MAS-1",591
"Actinomyces sp. oral taxon 169",122
"Actinomyces sp. oral taxon 171",577
"Actinomyces sp. oral taxon 414",1030
"Actinomyces sp. Z16",663
"Actinomyces trachealis",213
"Actinomyces viscosus",518
"Actinomyces weissii",394
"Actinomyces wuliandei",399
"Actinotignum schaalii",154
"Changpingibacter yushuensis",296
"Flaviflexus ciconiae",271
"Flaviflexus salsibiostraticola",881
"Flaviflexus sp. dk850",498
"Mobiluncus curtisii",120
"Nanchangia anserum",609
"Pauljensenia hongkongensis",788
"Schaalia cardiffensis",239
"Schaalia meyeri",329
"Schaalia odontolytica",695
"Schaalia sp. 19OD2882",570
"Schaalia sp. JY-X169",173
"Schaalia sp. ZJ405",85
"Schaalia turicensis",370
"Trueperella bialowiezensis",212
"Trueperella pecoris",586
"Trueperella pyogenes",599
"Actinopolyspora erythraea",1433
"Bifidobacterium actinocoloniiforme",171
"Bifidobacterium adolescentis",378
"Bifidobacterium angulatum",150
"Bifidobacterium animalis",657
"Bifidobacterium asteroides",313
"Bifidobacterium bifidum",554
"Bifidobacterium breve",546
"Bifidobacterium catenulatum",177
"Bifidobacterium choerinum",997
"Bifidobacterium dentium",161
"Bifidobacterium eulemuris",209
"Bifidobacterium lemurum",239
"Bifidobacterium longum",1462
"Bifidobacterium pseudocatenulatum",101
"Bifidobacterium pseudolongum",780
"Bifidobacterium pullorum",500
"Bifidobacterium scardovii",459
"Bifidobacterium subtile",361
"Bifidobacterium thermophilum",183
"Parascardovia denticolens",98
"Catenulispora acidiphila",8371
"Corynebacterium aquilae",209
"Corynebacterium argentoratense",144
"Corynebacterium atypicum",604
"Corynebacterium aurimucosum",366
"Corynebacterium bovis",1070
"Corynebacterium camporealensis",107
"Corynebacterium choanae",84
"Corynebacterium comes",540
"Corynebacterium coyleae",324
"Corynebacterium cyclohexanicum",2091
"Corynebacterium cystitidis",142
"Corynebacterium diphtheriae",169
"Corynebacterium doosanense",911
"Corynebacterium efficiens",380
"Corynebacterium endometrii",201
"Corynebacterium epidermidicanis",217
"Corynebacterium falsenii",543
"Corynebacterium flavescens",198
"Corynebacterium frankenforstense",1144
"Corynebacterium freneyi",1021
"Corynebacterium genitalium",370
"Corynebacterium gerontici",53
"Corynebacterium glaucum",410
"Corynebacterium glucuronolyticum",355
"Corynebacterium glutamicum",1982
"Corynebacterium glyciniphilum",471
"Corynebacterium halotolerans",969
"Corynebacterium humireducens",700
"Corynebacterium imitans",590
"Corynebacterium incognita",330
"Corynebacterium jeikeium",2273
"Corynebacterium kalinowskii",241
"Corynebacterium kefirresidentii",51
"Corynebacterium kroppenstedtii",327
"Corynebacterium lactis",285
"Corynebacterium liangguodongii",588
"Corynebacterium lizhenjunii",105
"Corynebacterium lujinxingii",412
"Corynebacterium macginleyi",26
"Corynebacterium marinum",740
"Corynebacterium maris",641
"Corynebacterium matruchotii",178
"Corynebacterium minutissimum",174
"Corynebacterium mycetoides",635
"Corynebacterium nuruki",849
"Corynebacterium occultum",293
"Corynebacterium pelargi",69
"Corynebacterium phocae",72
"Corynebacterium propinquum",40
"Corynebacterium provencense",536
"Corynebacterium qintianiae",390
"Corynebacterium renale",183
"Corynebacterium resistens",210
"Corynebacterium riegelii",240
"Corynebacterium sanguinis",725
"Corynebacterium segmentosum",73
"Corynebacterium simulans",264
"Corynebacterium singulare",118
"Corynebacterium sp. CNCTC7651",476
"Corynebacterium sp. NML98-0116",548
"Corynebacterium sphenisci",1246
"Corynebacterium striatum",486
"Corynebacterium terpenotabidum",504
"Corynebacterium testudinoris",345
"Corynebacterium timonense",581
"Corynebacterium tuberculostearicum",429
"Corynebacterium ulcerans",33
"Corynebacterium urealyticum",791
"Corynebacterium ureicelerivorans",575
"Corynebacterium urogenitale",195
"Corynebacterium uterequi",434
"Corynebacterium variabile",987
"Corynebacterium vitaeruminis",728
"Corynebacterium xerosis",1631
"Corynebacterium yudongzhengii",578
"Corynebacterium zhongnanshanii",226
"Dietzia lutea",1404
"Dietzia psychralcaliphila",1204
"Dietzia sp. oral taxon 368",2312
"Dietzia timorensis",1467
"Tomitella fengzijianii",1634
"Tomitella gaofuii",1788
"Gordonia ajococcus",527
"Gordonia alkanivorans",1930
"Gordonia amarae",1500
"Gordonia amicalis",536
"Gordonia bronchialis",1659
"Gordonia insulae",1917
"Gordonia iterans",1758
"Gordonia jinghuaiqii",1385
"Gordonia otitidis",1368
"Gordonia phthalatica",2014
"Gordonia polyisoprenivorans",3071
"Gordonia pseudoamarae",1349
"Gordonia rubripertincta",1998
"Gordonia sp. 135",434
"Gordonia sp. 1D",305
"Gordonia sp. JH63",745
"Gordonia sp. KTR9",1232
"Gordonia sp. PDNC005",1125
"Gordonia sp. WA4-43",1116
"Gordonia sp. YC-JH1",2397
"Gordonia terrae",2488
"Gordonia zhaorongruii",1031
"Skermania piniformis",1534
"Lawsonella clevelandensis",90
"Hoyosella subflava",1004
"Mycobacterium avium",8617
"Mycobacterium basiliense",2085
"Mycobacterium branderi",5194
"Mycobacterium canettii",4120
"Mycobacterium colombiense",2509
"Mycobacterium conspicuum",4312
"Mycobacterium cookii",4941
"Mycobacterium crocinum",2684
"Mycobacterium diernhoferi",4532
"Mycobacterium dioxanotrophicus",8015
"Mycobacterium florentinum",3690
"Mycobacterium frederiksbergense",7288
"Mycobacterium goodii",5190
"Mycobacterium gordonae",3222
"Mycobacterium grossiae",6624
"Mycobacterium haemophilum",1683
"Mycobacterium heckeshornense",4387
"Mycobacterium heidelbergense",3059
"Mycobacterium holsaticum",8287
"Mycobacterium intracellulare",17958
"Mycobacterium kansasii",3337
"Mycobacterium koreense",2553
"Mycobacterium kubicae",4711
"Mycobacterium lacus",3459
"Mycobacterium lentiflavum",3881
"Mycobacterium leprae",349
