"Var1","Freq"
"0",3263
"9.44622899453866e-06",1
"9.9185404442656e-06",3
"1.00730497568366e-05",3
"1.02998598189079e-05",5
"1.03908518939925e-05",9
"1.05767022446784e-05",7
"1.08148528098533e-05",7
"1.08631633437195e-05",10
"1.10803547325202e-05",11
"1.13298458007987e-05",6
"1.13354747934464e-05",11
"1.13756066042222e-05",1
"1.15840072203621e-05",14
"1.18077862431733e-05",9
"1.1844838791744e-05",13
"1.19443869344333e-05",3
"1.20876597082039e-05",15
"1.22800976929003e-05",12
"1.23598317826894e-05",6
"1.25131672646444e-05",11
"1.25913121960457e-05",15
"1.27524091426272e-05",11
"1.28748247736348e-05",12
"1.2996997043833e-05",1
"1.30819475948555e-05",9
"1.30949646838876e-05",14
"1.32247205923541e-05",16
"1.33898177645802e-05",16
"1.35986171717294e-05",16
"1.36468468960247e-05",4
"1.36507279250666e-05",13
"1.36970320420811e-05",11
"1.39048107555256e-05",12
"1.41022696595712e-05",13
"1.4169343491808e-05",13
"1.42195082552777e-05",13
"1.42966967482163e-05",2
"1.4419803746471e-05",14
"1.44668495758681e-05",1
"1.4605922147413e-05",17
"1.46416549415349e-05",22
"1.47882885854888e-05",12
"1.49347967374164e-05",21
"1.4946546600408e-05",10
"1.51095746352549e-05",23
"1.51139663912619e-05",14
"1.51901920546615e-05",1
"1.53570689156999e-05",12
"1.54497897283618e-05",11
"1.55862778409888e-05",13
"1.55963964525996e-05",16
"1.56132271230967e-05",24
"1.5913534533455e-05",3
"1.5925849245911e-05",19
"1.59647827193072e-05",22
"1.60585892907157e-05",24
"1.61168796109385e-05",19
"1.62462463047913e-05",16
"1.64797757102526e-05",15
"1.64946295761221e-05",23
"1.65309007404427e-05",16
"1.66205320987804e-05",14
"1.66368770122484e-05",9
"1.68960961569829e-05",15
"1.6994768701198e-05",18
"1.70032121901696e-05",20
"1.70634099063333e-05",17
"1.71241845866222e-05",17
"1.73602194910418e-05",11
"1.74755236398965e-05",15
"1.75097616921434e-05",16
"1.75459460091746e-05",12
"1.7627837074464e-05",17
"1.76321902365444e-05",17
"1.79478350896235e-05",14
"1.80247546830888e-05",13
"1.80835619698352e-05",15
"1.81314895623058e-05",15
"1.81957958613662e-05",14
"1.82009705667555e-05",17
"1.84201465393504e-05",15
"1.85397476740342e-05",20
"1.86351420501477e-05",22
"1.87697508969666e-05",17
"1.88069044486286e-05",12
"1.88456457135579e-05",19
"1.88924579890773e-05",16
"1.90547406649796e-05",15
"1.91387945379895e-05",19
"1.93385312271777e-05",16
"1.93647694388043e-05",23
"1.94954955657495e-05",11
"1.9530246927422e-05",19
"1.95697336559249e-05",25
"1.96424470258313e-05",20
"1.98370808885312e-05",18
"1.99073115573888e-05",14
"2.00847266468703e-05",12
"2.01453454179412e-05",20
"2.01460995136732e-05",13
"2.02535894062154e-05",14
"2.03093923382581e-05",23
"2.04760918875999e-05",18
"2.05997196378157e-05",18
"2.0649752001515e-05",21
"2.07817037879851e-05",13
"2.07951952701328e-05",13
"2.09769318850088e-05",20
"2.1044872217811e-05",16
"2.11147126287611e-05",12
"2.11534044893568e-05",16
"2.1254015237712e-05",16
"2.14450451223245e-05",12
"2.16136525480221e-05",13
"2.16297056197065e-05",10
"2.16570569771986e-05",14
"2.17002743638022e-05",12
"2.17263266874389e-05",14
"2.20948949745161e-05",19
"2.21446986106519e-05",10
"2.21607094650405e-05",16
"2.21824328782332e-05",15
"2.21986381371659e-05",11
"2.24236168425956e-05",22
"2.26596916015973e-05",18
"2.26643619528823e-05",15
"2.26709495868928e-05",13
"2.27447448267078e-05",19
"2.27512132084443e-05",21
"2.31432610366197e-05",16
"2.3146959321389e-05",14
"2.31680144407241e-05",13
"2.31746845925427e-05",20
"2.33199935386554e-05",21
"2.33945946788994e-05",18
"2.36155724863467e-05",20
"2.3671666928566e-05",21
"2.36896775834881e-05",17
"2.38703018001824e-05",17
"2.38887738688666e-05",15
"2.40444445310911e-05",14
"2.40878839360736e-05",13
"2.41753194164078e-05",17
"2.42046705744335e-05",21
"2.44575541990777e-05",19
"2.45601953858005e-05",20
"2.45936442789758e-05",19
"2.46789719042496e-05",14
"2.46942943832827e-05",14
"2.47196635653789e-05",17
"2.50263345292888e-05",17
"2.50325068355275e-05",11
"2.51826243920914e-05",23
"2.52346565563243e-05",13
"2.53169867577692e-05",7
"2.53441442354744e-05",15
"2.55048182852544e-05",15
"2.55951148594999e-05",18
"2.56862768799333e-05",10
"2.57496495472697e-05",12
"2.59771297349813e-05",13
"2.5993994087666e-05",26
"2.60403292365626e-05",21
"2.6163895189711e-05",23
"2.61899293677751e-05",23
"2.62646425382151e-05",19
"2.64494411847083e-05",22
"2.66438439398577e-05",17
"2.66935818556169e-05",16
"2.67326755199221e-05",16
"2.67636717153561e-05",19
"2.67796355291604e-05",9
"2.69217526344352e-05",19
"2.71972343434588e-05",8
"2.72936937920493e-05",18
"2.72946285201058e-05",15
"2.73014558501332e-05",21
"2.73940640841621e-05",10
"2.74870141941495e-05",15
"2.77008868313006e-05",19
"2.78096215110512e-05",18
"2.78663755338891e-05",13
"2.78702361803443e-05",12
"2.7943543644241e-05",16
"2.82045393191424e-05",17
"2.82103566729429e-05",21
"2.83246145019966e-05",11
"2.8338686983616e-05",10
"2.84390165105554e-05",8
"2.85933934964326e-05",22
"2.87081918069842e-05",11
"2.88109984333429e-05",13
"2.8839607492942e-05",11
"2.89336991517363e-05",17
"2.90077968407665e-05",13
"2.92118442948261e-05",14
"2.92432433486243e-05",21
"2.92833098830699e-05",6
"2.93546004838874e-05",11
"2.95765771709776e-05",17
"2.96570416305297e-05",13
"2.97154967826679e-05",16
"2.97556213327968e-05",15
"2.98695934748328e-05",14
"2.9893093200816e-05",15
"3.01453575011888e-05",16
"3.02191492705097e-05",7
"3.02279327825237e-05",11
"3.03803841093231e-05",18
"3.03845864657782e-05",12
"3.05429430530076e-05",17
"3.07002442322507e-05",18
"3.07141378313999e-05",14
"3.07228017583516e-05",16
"3.08995794567236e-05",12
"3.11037265881165e-05",14
"3.11725556819776e-05",7
"3.11927929051993e-05",12
"3.12264542461934e-05",14
"3.1282918161611e-05",13
"3.1414572447669e-05",11
"3.16448671317045e-05",18
"3.17301067340352e-05",13
"3.18270690669099e-05",17
"3.18426427573909e-05",15
"3.18516984918221e-05",9
"3.19295654386144e-05",12
"3.21171785814315e-05",16
"3.22337592218771e-05",11
"3.24204788220332e-05",20
"3.24445584295598e-05",8
"3.24924926095826e-05",16
"3.25504115457033e-05",17
"3.25894900311584e-05",10
"3.27374117097189e-05",14
"3.29595514205052e-05",11
"3.29892591522443e-05",15
"3.30618014808853e-05",10
"3.31423424617742e-05",14
"3.32410641975607e-05",12
"3.32737540244967e-05",20
"3.34745444114506e-05",6
"3.35341129306123e-05",12
"3.35580394824554e-05",17
"3.37447166854025e-05",14
"3.37921923139659e-05",12
"3.3989537402396e-05",6
"3.39970965032901e-05",16
"3.40064243803392e-05",10
"3.41268198126665e-05",14
"3.42483691732444e-05",13
"3.44420421661575e-05",16
"3.44787358300661e-05",13
"3.45045303933413e-05",14
"3.46956001428776e-05",11
"3.47204389820835e-05",12
"3.47520216610862e-05",14
"3.49510472797931e-05",17
"3.50195233842867e-05",9
"3.50918920183492e-05",14
"3.5255674148928e-05",9
"3.52643804730887e-05",9
"3.542335872952e-05",12
"3.54437814608769e-05",12
"3.55345163752321e-05",12
"3.57417418705408e-05",9
"3.57593266367699e-05",8
"3.58331608032998e-05",12
"3.58956701792469e-05",19
"3.60495093661775e-05",10
"3.61671239396703e-05",10
"3.62629791246117e-05",10
"3.63679816289739e-05",9
"3.63915917227325e-05",7
"3.64019411335109e-05",12
"3.65645023571229e-05",14
"3.67666316124535e-05",15
"3.68402930787008e-05",9
"3.68904664184637e-05",18
"3.69707214637221e-05",10
"3.70414415749241e-05",15
"3.70794953480683e-05",8
"3.72702841002953e-05",13
"3.73126045284277e-05",11
"3.75395017939332e-05",10
"3.75944883390137e-05",8
"3.76138088972572e-05",13
"3.76912914271158e-05",13
"3.77739365881372e-05",18
"3.77849159781546e-05",5
"3.81082821241443e-05",12
"3.81094813299591e-05",10
"3.82572274278816e-05",8
"3.8277589075979e-05",10
"3.83371513760506e-05",11
"3.83411412793074e-05",15
"3.86244743209045e-05",12
"3.86770624543554e-05",14
"3.87295388776085e-05",7
"3.87812415638208e-05",8
"3.89909911314991e-05",14
"3.9060493854844e-05",20
"3.91394673118499e-05",11
"3.92018503273355e-05",7
"3.92458427845665e-05",13
"3.92848940516627e-05",8
"3.96408409836907e-05",11
"3.96544603027953e-05",9
"3.96741617770624e-05",6
"3.97838363336374e-05",12
"3.97885465395045e-05",10
"3.98146231147776e-05",9
"4.01464732267893e-05",9
"4.01694532937407e-05",12
"4.02906908358824e-05",14
"4.02921990273463e-05",7
"4.03834034449887e-05",12
"4.05071788124308e-05",13
"4.06187846765163e-05",14
"4.06844462846861e-05",7
"4.07958515151881e-05",12
"4.0940540688074e-05",12
"4.09521837751998e-05",12
"4.10910961262432e-05",8
"4.11994392756315e-05",9
"4.12305212912242e-05",12
"4.129950400303e-05",11
"4.15209641054109e-05",12
"4.15634075759701e-05",7
"4.15903905402657e-05",14
"4.17144322665768e-05",6
"4.18031564908718e-05",13
"4.19538637700176e-05",12
"4.2035719025697e-05",8
"4.2089744435622e-05",12
"4.22294252575222e-05",5
"4.22402403924573e-05",8
"4.23068089787136e-05",5
"4.2508030475424e-05",9
"4.26585247658331e-05",15
"4.2677206248811e-05",7
"4.27444182484676e-05",9
"4.28104614665555e-05",10
"4.2890090244649e-05",11
